Вопрос,Ответ
Как получить материальную помощь в трудной жизненной ситуации?,"в предоставленном фрагменте коллективного договора ОАО ""РЖД"" нет информации о порядке получения материальной помощи в трудной жизненной ситуации."
Какие льготы есть для сотрудников с детьми?,"Для сотрудников с детьми предусмотрены следующие основные льготы:

1. Материальная помощь при рождении ребенка.
2. Ежемесячное пособие работникам, находящимся в отпуске по уходу за ребенком от 1,5 до 3 лет.
3. Бесплатный проезд детей до 18 лет по личным надобностям и к месту отдыха.
4. Организация отдыха и оздоровления детей работников.
5. Предоставление мест в образовательных учреждениях компании.
6. Дополнительные отпуска и выходные дни для родителей в определенных случаях.
7. Возможность получения компенсируемого социального пакета с учетом наличия детей."
Как оформить отпуск по уходу за ребёнком?,не знаю
Как можно повысить свою квалификацию за счёт компании?,"Согласно Коллективному договору, компания предоставляет работникам следующие возможности повышения квалификации:

Профессиональная подготовка и развитие на базе образовательных организаций среднего профессионального и высшего образования.
Обучение в учебных центрах профессиональных квалификаций ОАО ""РЖД"".
Курсовое, индивидуальное и другие формы обучения.
Техническая учеба в рабочее время с сохранением заработной платы.
Создание условий для самообразования работников.

Компания берет на себя расходы по обучению и предоставляет необходимые условия для профессионального развития сотрудников."
"Что делать, если мне задерживают зарплату?","Согласно Коллективному договору ОАО ""РЖД"", заработная плата должна выплачиваться не реже чем каждые полмесяца. Если вам задерживают зарплату, вы можете:

Обратиться к своему непосредственному руководителю или в отдел кадров.
Подать жалобу в профсоюзную организацию, которая обязана защищать экономические интересы работников.
Если проблема не решается, вы имеете право обратиться в трудовую инспекцию или прокуратуру.

Помните, что задержка выплаты заработной платы является нарушением трудового законодательства."
Как узнать о возможностях карьерного роста?,"Согласно Коллективному договору, для узнавания о возможностях карьерного роста работники могут:

1. Участвовать в программах профессиональной подготовки и развития, организуемых компанией.

2. Проходить обучение и повышение квалификации за счет работодателя.

3. Обращаться к непосредственному руководителю или в отдел кадров для получения информации о вакансиях и требованиях к ним.

4. Участвовать в конкурсах профессионального мастерства и других корпоративных мероприятиях, способствующих выявлению перспективных сотрудников.

5. Использовать возможности самообразования для повышения квалификации и развития профессиональных компетенций."
Какие программы оздоровления предлагает компания?,"Согласно Коллективному договору, компания предлагает следующие программы оздоровления:

1. Санаторно-курортное и реабилитационное лечение работников и членов их семей.

2. Оздоровление и отдых работников в структурных подразделениях ОАО ""РЖД"" и на объектах АО ""РЖД-ЗДОРОВЬЕ"".

3. Организованный отдых и оздоровление детей работников.

4. Медицинская помощь работникам в учреждениях здравоохранения компании.

5. Проведение комплекса медицинских мероприятий, направленных на охрану и восстановление здоровья работников."
Как оформить больничный лист?,не знаю
Могу ли я получить помощь в решении жилищного вопроса?,"Да, согласно пункту 7.32 Коллективного договора, ОАО ""РЖД"" оказывает корпоративную поддержку (субсидии, займы и др.) работникам, приобретающим или строящим жилье в собственность. Для получения такой поддержки работник должен состоять на учете по месту работы. Порядок оказания помощи устанавливается Компанией с учетом мнения профсоюза."
Как подать жалобу на условия труда?,"На основе предоставленного контекста Коллективного договора ОАО ""РЖД"", прямого указания на процедуру подачи жалобы на условия труда нет. Однако, работники могут обратиться с жалобой следующими способами:

1. К непосредственному руководителю или в отдел охраны труда.
2. В профсоюзную организацию, которая обязана защищать права работников.
3. К уполномоченным (доверенным) лицам по охране труда профсоюза.
4. В комиссию по охране труда, если она создана в организации.

При необходимости, работники также могут обратиться в государственную инспекцию труда или прокуратуру."
Какие выплаты положены при инвалидности?,"При установлении инвалидности вследствие несчастного случая на производстве по вине компании или профессионального заболевания работнику полагаются следующие единовременные компенсации:

I группа инвалидности: не менее 690 тысяч рублей
II группа инвалидности: не менее 460 тысяч рублей
III группа инвалидности: не менее 230 тысяч рублей

Размер выплаты может быть увеличен в зависимости от среднемесячного заработка работника."
"Что делать, если я получил травму на работе?","Если вы получили травму на работе, вам следует:

1. Немедленно сообщить о травме своему непосредственному руководителю.

2. Обратиться за медицинской помощью.

3. Потребовать составления акта о несчастном случае на производстве.

4. Сохранить все медицинские документы, связанные с травмой.

5. Связаться с представителем профсоюза для защиты ваших прав.

6. При необходимости, обратиться за юридической консультацией по вопросам компенсации и социальных гарантий."
Как происходит индексация зарплаты?,"Согласно Коллективному договору, индексация заработной платы работников ОАО ""РЖД"" происходит следующим образом:

1. Не реже двух раз в год.

2. Первая индексация - не позднее 1 марта, в размере не ниже прогноза индекса потребительских цен на I квартал.

3. Вторая индексация - не позднее 1 сентября, размер устанавливается с учетом прогнозируемого индекса цен на конец года и ранее проведенной индексации.

4. При отклонении фактического индекса цен от прогнозного рассматривается возможность дополнительной индексации."
Какая корпоративная пенсия мне положена?,не знаю
Какие мотивационные выплаты мне положены?,"На основе Коллективного договора ОАО ""РЖД"", работникам могут быть предоставлены следующие мотивационные выплаты:

1. Материальная помощь при уходе в ежегодный оплачиваемый отпуск (не более одного раза в год).

2. Единовременное поощрение за добросовестный труд при увольнении впервые на пенсию (размер зависит от стажа работы).

3. Компенсируемый социальный пакет (до 1% от фонда заработной платы).

4. Бонусный пакет за проявленную активность и участие в значимых проектах.

5. Премии за призовые места в производственном соревновании.

6. Награждение корпоративными, государственными и ведомственными наградами.

Конкретные размеры и условия выплат определяются локальными нормативными актами компании."
На что имеет права сотрудник в резерве?,не знаю
Какие единовременные выплаты мне положены?,"На основе предоставленной информации, единовременные выплаты при установлении инвалидности вследствие несчастного случая на производстве по вине компании или профессионального заболевания составляют:

- I группа инвалидности: не менее 690 тысяч рублей
- II группа инвалидности: не менее 460 тысяч рублей
- III группа инвалидности: не менее 230 тысяч рублей

Эти суммы являются минимальными и могут быть выше в зависимости от среднемесячного заработка работника."
Что положено при рождении ребенка?,"При рождении ребенка работникам ОАО ""РЖД"" положено:

1. Материальная помощь в размере 5775 рублей в 2023 году на каждого новорожденного.

2. Отпуск до пяти календарных дней, один из которых оплачивается в размере тарифной ставки (оклада).

3. Доплата к пособию по беременности и родам до среднемесячного заработка работника.

4. Ежемесячное пособие в размере 5775 рублей в 2023 году на период отпуска по уходу за ребенком от 1,5 до 3 лет."
Какие есть гарантии и льготы при увольнении?,"Основные гарантии и льготы при увольнении согласно коллективному договору ОАО ""РЖД"":

Выплата единовременного поощрения за добросовестный труд в зависимости от стажа работы (от 1 до 6 среднемесячных заработков).
Выплата выходного пособия в размере 2550 рублей за каждый отработанный год для работников со стажем 15 лет и более.
Сохранение права на корпоративную поддержку при строительстве жилья для семей погибших работников.
Предоставление до 3 оплачиваемых дней для поиска работы.
Назначение корпоративной пенсии для работников предпенсионного возраста.
Сохранение ряда социальных льгот и гарантий для уволенных работников предпенсионного возраста."
Есть компенсация расходов на бытовое топливо?,"Да, согласно пункту 7.15 Коллективного договора ОАО ""РЖД"" на 2023-2025 годы, компания обеспечивает нуждающихся работников бытовым топливом в порядке, установленном с учетом мнения профсоюза."
Есть компенсация спорта и фитнеса?,"Да, в коллективном договоре ОАО ""РЖД"" предусмотрена частичная компенсация затрат работников на занятия физической культурой и спортом. Согласно пункту 7.33, компания осуществляет компенсацию в размере 400 рублей на одного работника в год."
